id,lat,lng,name,area
400_05,5.940434878674353,-75.35428945965728,,169
411_05,6.723990934468624,-75.78300045762279,,218
425_05,6.534573585127775,-74.71410854121991,,390
440_05,6.18521037071868,-75.30486674531005,,116
467_05,5.916858834864803,-75.51972796580151,,76
475_05,6.8287738552249095,-76.70861349100659,,1274
480_05,7.329557847886908,-76.4630656953882,,1083
483_05,5.581275312143033,-75.19457018541102,,318
490_05,8.49372835417412,-76.67699340130663,,1268
495_05,7.990467678570554,-74.79242149190561,,947
501_05,6.611418083045093,-75.7756709691536,,88
541_05,6.232396367524003,-75.22350905526794,,119
543_05,7.04418005793238,-75.88968843419943,,437
576_05,5.8097018599787935,-75.86076666626077,,76
579_05,6.481922266966121,-74.52874210058087,,1229
585_05,6.126539139152825,-74.70317721728595,,674
591_05,5.954830150466487,-74.6861917977579,,372
604_05,6.998134717476439,-74.55689106252366,,1989
607_05,6.051470169250622,-75.51572683800997,,240
615_05,6.150798722366747,-75.41075443249923,,197
628_05,6.901000505986099,-75.79222753446493,,268
631_05,6.138302381341678,-75.6087975085842,,16
642_05,5.970502333447357,-75.98137251142381,,290
647_05,6.914562873234273,-75.66517664686664,,208
649_05,6.193789659121203,-74.90732768977611,,722
652_05,5.879509552413719,-74.97601633581597,,358
656_05,6.438300408739267,-75.70310727243687,,162
658_05,6.823258912350898,-75.677708262469,,127
659_05,8.707147598402889,-76.53249333696795,,255
660_05,6.014516819426746,-74.96200549699036,,428
664_05,6.458668845261333,-75.56248101256637,,222
665_05,8.379156949628628,-76.31664233415438,,609
667_05,6.310744529784611,-74.99858651613968,,366
670_05,6.448675157746526,-74.93185881472976,,428
674_05,6.310387521673197,-75.32740162791956,,232
679_05,5.878984955871564,-75.58330371060211,,197
686_05,6.6758425706047415,-75.43815003892803,,871
690_05,6.481053869811952,-75.14259204546782,,268
697_05,6.124210930625179,-75.25212605944398,,84
736_05,7.266882634120629,-74.621653143851,,1137
756_05,5.762498496072479,-75.05936631239621,,1354
761_05,6.520161149415908,-75.74559267698265,,220
789_05,5.673758570625989,-75.70979974307303,,253
790_05,7.488875996572778,-75.40189437765825,,1159
792_05,5.871064556745634,-75.82871144321723,,121
809_05,6.0583499707986626,-75.79966004694643,,141
819_05,7.013692234687468,-75.71033029449922,,135
